Vendas Tablet Samsung Galaxy;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Marketplace, no contexto do comércio eletrónico, é uma plataforma online onde múltiplos vendedores podem oferecer os seus produtos ou serviços a compradores.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ano;Mês;Produto;Canal;Regiões;Unidades_Vendidas;Preço_Unitário;Receita;Sazonalidade;Vendas_Adultos;Vendas_50+;Vendas_Jovens;Vendas_Empresas;Loja;Funcionario
2024;2;Tablet Galaxy A7;Marketplace;Sudeste;996; 839,90 ; 836.540,40 ;;299;100;398;199;Loja B;Bruna
2024;2;Tablet Galaxy S9;Site;Sul;824; 3.870,50 ; 3.189.292,00 ;;247;82;330;165;Loja A;Fernanda
2024;3;Tablet Galaxy S6;Site;Norte;903; 1.754,10 ; 1.583.952,30 ;;271;90;361;181;Loja C;Paulo
2024;3;Tablet Galaxy S9 FE;Site;Nordeste;136; 2.799,00 ; 380.664,00 ;;41;14;54;27;Loja B;Marina
2024;3;Tablet Galaxy A7;Marketplace;Centro-Oeste;671; 839,90 ; 563.572,90 ;;201;67;268;134;Loja A;Fernanda
2024;3;Tablet Galaxy S9;Site;Sudeste;261; 3.870,50 ; 1.010.200,50 ;;78;26;104;52;Loja B;Marina
2024;4;Tablet Galaxy S6;Site;Sul;737; 1.754,10 ; 1.292.771,70 ;Aniversário da loja;221;74;295;147;Loja C;Isabela
2024;4;Tablet Galaxy S9 FE;Site;Norte;188; 2.799,00 ; 526.212,00 ;Aniversário da loja;56;19;75;38;Loja A;Fernanda
2024;4;Tablet Galaxy A7;Site;Nordeste;873; 839,90 ; 733.232,70 ;Aniversário da loja;262;87;349;175;Loja B;Lucas
2024;4;Tablet Galaxy S9;Marketplace;Centro-Oeste;595; 3.870,50 ; 2.302.947,50 ;Aniversário da loja;179;60;238;119;Loja A;Fernanda
2024;5;Tablet Galaxy S6;Marketplace;Sudeste;884; 1.754,10 ; 1.550.624,40 ;;265;88;354;177;Loja B;Lucas
2024;5;Tablet Galaxy S9 FE;Marketplace;Sul;978; 2.799,00 ; 2.737.422,00 ;;293;98;391;196;Loja C;Jéssica
2024;5;Tablet Galaxy A7;Site;Norte;419; 839,90 ; 351.918,10 ;;126;42;168;84;Loja C;Paulo
2024;5;Tablet Galaxy S9;Marketplace;Nordeste;622; 3.870,50 ; 2.407.451,00 ;;187;62;249;124;Loja A;Rafael
2024;6;Tablet Galaxy S6;Site;Centro-Oeste;727; 1.754,10 ; 1.275.230,70 ;;218;73;291;145;Loja B;Marina
2024;6;Tablet Galaxy S9 FE;Site;Sudeste;362; 2.799,00 ; 1.013.238,00 ;;109;36;145;72;Loja A;Rafael
2024;6;Tablet Galaxy A7;Site;Sul;996; 839,90 ; 836.540,40 ;;299;100;398;199;Loja A;Fernanda
2024;6;Tablet Galaxy S9;Marketplace;Norte;492; 3.870,50 ; 1.904.286,00 ;;148;49;197;98;Loja B;Marina
2024;7;Tablet Galaxy S6;Marketplace;Nordeste;485; 1.754,10 ; 850.738,50 ;;146;49;194;97;Loja B;Marina
2024;7;Tablet Galaxy S9 FE;Marketplace;Centro-Oeste;582; 2.799,00 ; 1.629.018,00 ;;175;58;233;116;Loja B;Bruna
2024;7;Tablet Galaxy A7;Marketplace;Sudeste;885; 839,90 ; 743.311,50 ;;266;89;354;177;Loja C;Jéssica
2024;7;Tablet Galaxy S9;Marketplace;Sul;967; 3.870,50 ; 3.742.773,50 ;;290;97;387;193;Loja A;Carlos
2024;8;Tablet Galaxy S6;Marketplace;Norte;921; 1.754,10 ; 1.615.526,10 ;;276;92;368;184;Loja A;Rafael
2024;8;Tablet Galaxy S9 FE;Site;Nordeste;598; 2.799,00 ; 1.673.802,00 ;;179;60;239;120;Loja C;Jéssica
2024;8;Tablet Galaxy A7;Marketplace;Centro-Oeste;568; 839,90 ; 477.063,20 ;;170;57;227;114;Loja B;Bruna
2024;8;Tablet Galaxy S9;Site;Sudeste;166; 3.870,50 ; 642.503,00 ;;50;17;66;33;Loja C;Isabela
2024;9;Tablet Galaxy S6;Site;Sul;177; 1.754,10 ; 310.475,70 ;;53;18;71;35;Loja C;Isabela
2024;9;Tablet Galaxy S9 FE;Site;Norte;745; 2.799,00 ; 2.085.255,00 ;;224;75;298;149;Loja C;Jéssica
2024;9;Tablet Galaxy A7;Marketplace;Nordeste;575; 839,90 ; 482.942,50 ;;173;58;230;115;Loja A;Rafael
2024;9;Tablet Galaxy S9;Site;Centro-Oeste;539; 3.870,50 ; 2.086.199,50 ;;162;54;216;108;Loja C;Isabela
2024;10;Tablet Galaxy S6;Site;Sudeste;450; 1.754,10 ; 789.345,00 ;;135;45;180;90;Loja A;Fernanda
2024;10;Tablet Galaxy S9 FE;Site;Sul;820; 2.799,00 ; 2.295.180,00 ;;246;82;328;164;Loja A;Carlos
2024;10;Tablet Galaxy A7;Site;Norte;289; 839,90 ; 242.731,10 ;;87;29;116;58;Loja A;Carlos
2024;10;Tablet Galaxy S9;Site;Nordeste;884; 3.870,50 ; 3.421.522,00 ;;265;88;354;177;Loja B;Lucas
2024;11;Tablet Galaxy S6;Marketplace;Centro-Oeste;310; 1.754,10 ; 543.771,00 ;;93;31;124;62;Loja A;Rafael
2024;11;Tablet Galaxy S9 FE;Site;Sudeste;894; 2.799,00 ; 2.502.306,00 ;;268;89;358;179;Loja A;Rafael
2024;11;Tablet Galaxy A7;Site;Sul;449; 839,90 ; 377.115,10 ;;135;45;180;90;Loja B;Bruna
2024;11;Tablet Galaxy S9;Marketplace;Norte;812; 3.870,50 ; 3.142.846,00 ;;244;81;325;162;Loja A;Rafael
2024;12;Tablet Galaxy S6;Marketplace;Nordeste;356; 1.754,10 ; 624.459,60 ;;107;36;142;71;Loja C;Paulo
2024;12;Tablet Galaxy S9 FE;Marketplace;Centro-Oeste;959; 2.799,00 ; 2.684.241,00 ;;288;96;384;192;Loja C;Isabela
2024;12;Tablet Galaxy A7;Site;Sudeste;540; 839,90 ; 453.546,00 ;;162;54;216;108;Loja A;Rafael
2024;12;Tablet Galaxy S9;Site;Sul;354; 3.870,50 ; 1.370.157,00 ;;106;35;142;71;Loja B;Marina
